subset,observation_index
35.25-36.359,18
35.25-36.359,19
36.359-37.468,17
36.359-37.468,92
36.359-37.468,127
36.359-37.468,143
36.359-37.468,146
36.359-37.468,147
37.468-38.577,20
37.468-38.577,21
37.468-38.577,53
37.468-38.577,66
37.468-38.577,90
37.468-38.577,91
37.468-38.577,93
37.468-38.577,94
37.468-38.577,95
37.468-38.577,97
37.468-38.577,100
37.468-38.577,124
37.468-38.577,125
37.468-38.577,126
37.468-38.577,129
37.468-38.577,136
37.468-38.577,142
37.468-38.577,144
37.468-38.577,145
37.468-38.577,148
37.468-38.577,149
37.468-38.577,150
37.468-38.577,151
37.468-38.577,153
38.577-39.686,13
38.577-39.686,14
38.577-39.686,25
38.577-39.686,26
38.577-39.686,47
38.577-39.686,48
38.577-39.686,54
38.577-39.686,55
38.577-39.686,61
38.577-39.686,62
38.577-39.686,63
38.577-39.686,65
38.577-39.686,67
38.577-39.686,68
38.577-39.686,69
38.577-39.686,77
38.577-39.686,78
38.577-39.686,79
38.577-39.686,81
38.577-39.686,83
38.577-39.686,96
38.577-39.686,98
38.577-39.686,99
38.577-39.686,108
38.577-39.686,128
38.577-39.686,131
38.577-39.686,135
38.577-39.686,138
38.577-39.686,139
38.577-39.686,152
38.577-39.686,154
38.577-39.686,155
39.686-40.795,8
39.686-40.795,12
39.686-40.795,15
39.686-40.795,22
39.686-40.795,41
39.686-40.795,43
39.686-40.795,45
39.686-40.795,46
39.686-40.795,49
39.686-40.795,51
39.686-40.795,52
39.686-40.795,60
39.686-40.795,64
39.686-40.795,70
39.686-40.795,71
39.686-40.795,72
39.686-40.795,80
39.686-40.795,82
39.686-40.795,84
39.686-40.795,85
39.686-40.795,86
39.686-40.795,87
39.686-40.795,88
39.686-40.795,101
39.686-40.795,102
39.686-40.795,103
39.686-40.795,104
39.686-40.795,109
39.686-40.795,110
39.686-40.795,111
39.686-40.795,112
39.686-40.795,123
39.686-40.795,130
39.686-40.795,132
39.686-40.795,133
39.686-40.795,134
39.686-40.795,137
39.686-40.795,156
40.795-41.904,3
40.795-41.904,9
40.795-41.904,10
40.795-41.904,11
40.795-41.904,23
40.795-41.904,27
40.795-41.904,31
40.795-41.904,32
40.795-41.904,42
40.795-41.904,56
40.795-41.904,59
40.795-41.904,73
40.795-41.904,74
40.795-41.904,75
40.795-41.904,76
40.795-41.904,89
40.795-41.904,105
40.795-41.904,115
40.795-41.904,116
40.795-41.904,118
40.795-41.904,120
40.795-41.904,121
40.795-41.904,122
40.795-41.904,140
40.795-41.904,141
41.904-43.013,4
41.904-43.013,5
41.904-43.013,6
41.904-43.013,28
41.904-43.013,29
41.904-43.013,30
41.904-43.013,33
41.904-43.013,37
41.904-43.013,38
41.904-43.013,44
41.904-43.013,50
41.904-43.013,57
41.904-43.013,58
41.904-43.013,106
41.904-43.013,113
41.904-43.013,117
41.904-43.013,119
43.013-44.122,1
43.013-44.122,2
43.013-44.122,7
43.013-44.122,16
43.013-44.122,24
43.013-44.122,36
43.013-44.122,39
43.013-44.122,107
43.013-44.122,114
44.122-45.231,34
44.122-45.231,35
45.231-46.34,40
